x,y,d
40,50,0
25,85,20
22,75,30
22,85,10
20,80,40
20,85,20
18,75,20
15,75,20
15,80,10
10,35,20
10,40,30
8,40,40
8,45,20
5,35,10
5,45,10
2,40,20
0,40,20
0,45,20
44,5,20
42,10,40
42,15,10
40,5,10
40,15,40
38,5,30
38,15,10
35,5,20
95,30,30
95,35,20
92,30,10
90,35,10
88,30,10
88,35,20
87,30,10
85,25,10
85,35,30
67,85,20
65,85,40
65,82,10
62,80,30
60,80,10
60,85,30
58,75,20
55,80,10
55,85,20
55,82,10
20,82,10
18,80,10
2,45,10
42,5,10
42,12,10
72,35,30
55,20,19
25,30,3
20,50,5
55,60,16
30,60,16
50,35,19
30,25,23
15,10,20
10,20,19
15,60,17
45,65,9
65,35,3
65,20,6
45,30,17
35,40,16
41,37,16
64,42,9
40,60,21
31,52,27
35,69,23
65,55,14
63,65,8
2,60,5
20,20,8
5,5,16
60,12,31
23,3,7
8,56,27
6,68,30
47,47,13
49,58,10
27,43,9
37,31,14
57,29,18
63,23,2
21,24,28
12,24,13
24,58,19
67,5,25
37,47,6
49,42,13
53,43,14
61,52,3
57,48,23
56,37,6
55,54,26
4,18,35
26,52,9
26,35,15
