x,y,d
0.0,0.0,0.0
1.0,70.0,13.0
2.0,69.0,122.0
3.0,85.0,30.0
4.0,99.0,3.0
5.0,82.0,5.0
6.0,102.0,422.0
7.0,68.0,13.0
8.0,72.0,22.0
9.0,78.0,173.0
10.0,102.0,41.0
11.0,91.0,8.0
12.0,83.0,8.0
13.0,82.0,110.0
14.0,76.0,198.0
15.0,79.0,384.0
16.0,70.0,193.0
17.0,99.0,238.0
18.0,104.0,265.0
19.0,-24.0,3.0
20.0,-34.0,469.0
21.0,-44.0,7.0
22.0,-30.0,6.0
23.0,-36.0,108.0
24.0,-21.0,10.0
25.0,-15.0,40.0
26.0,-6.0,635.0
27.0,-43.0,49.0
28.0,-8.0,149.0
29.0,-38.0,403.0
30.0,-15.0,42.0
31.0,-28.0,70.0
32.0,-39.0,201.0
33.0,-30.0,66.0
34.0,-34.0,526.0
35.0,-8.0,6.0
36.0,-40.0,279.0
37.0,-9.0,160.0
38.0,-13.0,3.0
39.0,67.0,4.0
40.0,39.0,105.0
41.0,73.0,46.0
42.0,47.0,474.0
43.0,75.0,7.0
44.0,61.0,7.0
45.0,59.0,99.0
46.0,65.0,126.0
47.0,38.0,119.0
48.0,68.0,46.0
49.0,74.0,273.0
50.0,69.0,91.0
51.0,70.0,294.0
52.0,17.0,4.0
53.0,1.0,81.0
54.0,6.0,285.0
55.0,-2.0,90.0
56.0,-7.0,462.0
57.0,-1.0,65.0
58.0,12.0,6.0
59.0,13.0,4.0
60.0,3.0,529.0
61.0,-7.0,165.0
62.0,-6.0,4.0
63.0,-4.0,394.0
64.0,-1.0,3.0
65.0,-10.0,60.0
66.0,5.0,899.0
67.0,28.0,169.0
68.0,-19.0,10.0
69.0,5.0,47.0
70.0,-4.0,37.0
71.0,-2.0,23.0
72.0,3.0,25.0
73.0,-17.0,444.0
74.0,-21.0,3.0
75.0,14.0,99.0
76.0,62.0,58.0
77.0,71.0,7.0
78.0,72.0,11.0
79.0,77.0,15.0
80.0,78.0,381.0
81.0,70.0,7.0
82.0,81.0,39.0
83.0,81.0,502.0
84.0,77.0,115.0
85.0,85.0,85.0
86.0,71.0,3.0
87.0,72.0,136.0
88.0,74.0,111.0
89.0,70.0,66.0
90.0,82.0,50.0
91.0,69.0,252.0
92.0,86.0,4.0
93.0,79.0,119.0
94.0,71.0,746.0
95.0,56.0,6.0
96.0,69.0,51.0
97.0,57.0,322.0
98.0,56.0,1023.0
99.0,41.0,5.0
100.0,53.0,10.0
