x,y,d
0.0,0.0,0.0
1.0,-56.0,50.0
2.0,-58.0,50.0
3.0,-66.0,170.0
4.0,-40.0,297.0
5.0,-40.0,9.0
6.0,-50.0,630.0
7.0,-59.0,179.0
8.0,-46.0,179.0
9.0,-58.0,216.0
10.0,-67.0,4.0
11.0,-46.0,9.0
12.0,0.0,154.0
13.0,-4.0,117.0
14.0,-21.0,63.0
15.0,29.0,436.0
16.0,-13.0,905.0
17.0,-14.0,14.0
18.0,11.0,3.0
19.0,23.0,10.0
20.0,7.0,166.0
21.0,19.0,211.0
22.0,-7.0,8.0
23.0,23.0,25.0
24.0,5.0,139.0
25.0,25.0,213.0
26.0,-4.0,758.0
27.0,17.0,429.0
28.0,-7.0,5.0
29.0,-22.0,136.0
30.0,-24.0,501.0
31.0,-19.0,93.0
32.0,-15.0,21.0
33.0,-14.0,169.0
34.0,-26.0,22.0
35.0,-7.0,3.0
36.0,-4.0,271.0
37.0,-10.0,433.0
38.0,-8.0,3.0
39.0,-1.0,1079.0
40.0,-24.0,233.0
41.0,-25.0,11.0
42.0,-25.0,10.0
43.0,-6.0,78.0
44.0,-3.0,63.0
45.0,-22.0,4.0
46.0,-5.0,59.0
47.0,-10.0,8.0
48.0,-3.0,34.0
49.0,-3.0,234.0
50.0,-9.0,30.0
51.0,-36.0,40.0
52.0,19.0,123.0
53.0,6.0,7.0
54.0,-4.0,33.0
55.0,-7.0,369.0
56.0,11.0,11.0
57.0,3.0,23.0
58.0,9.0,208.0
59.0,-19.0,4.0
60.0,-7.0,8.0
61.0,-34.0,36.0
62.0,16.0,504.0
63.0,2.0,16.0
64.0,0.0,574.0
65.0,-14.0,19.0
66.0,-20.0,235.0
67.0,-26.0,445.0
68.0,-21.0,6.0
69.0,-14.0,43.0
70.0,36.0,210.0
71.0,62.0,268.0
72.0,49.0,410.0
73.0,59.0,124.0
74.0,73.0,11.0
75.0,88.0,1085.0
76.0,77.0,5.0
77.0,19.0,529.0
78.0,27.0,107.0
79.0,23.0,274.0
80.0,20.0,23.0
81.0,19.0,156.0
82.0,-38.0,32.0
83.0,-41.0,177.0
84.0,-31.0,16.0
85.0,-45.0,8.0
86.0,-33.0,19.0
87.0,-49.0,52.0
88.0,-44.0,47.0
89.0,-1.0,4.0
90.0,-1.0,372.0
91.0,30.0,525.0
92.0,12.0,101.0
93.0,31.0,898.0
94.0,-1.0,40.0
95.0,-3.0,32.0
96.0,-13.0,1017.0
97.0,17.0,103.0
98.0,4.0,109.0
99.0,-14.0,76.0
100.0,16.0,1025.0
