x,y,d
0.0,0.0,0.0
1.0,-5.0,1066.0
2.0,-1.0,841.0
3.0,7.0,74.0
4.0,0.0,687.0
5.0,-3.0,175.0
6.0,-1.0,183.0
7.0,0.0,124.0
8.0,-3.0,4.0
9.0,1.0,81.0
10.0,-5.0,56.0
11.0,-4.0,29.0
12.0,-5.0,23.0
13.0,1.0,4.0
14.0,3.0,9.0
15.0,2.0,7.0
16.0,80.0,181.0
17.0,88.0,54.0
18.0,83.0,884.0
19.0,77.0,822.0
20.0,88.0,637.0
21.0,79.0,59.0
22.0,78.0,140.0
23.0,80.0,531.0
24.0,88.0,58.0
25.0,90.0,15.0
26.0,82.0,11.0
27.0,80.0,185.0
28.0,91.0,159.0
29.0,89.0,285.0
30.0,74.0,4.0
31.0,88.0,10.0
32.0,74.0,3.0
33.0,74.0,4.0
34.0,87.0,11.0
35.0,91.0,45.0
36.0,-8.0,4.0
37.0,15.0,225.0
38.0,24.0,286.0
39.0,11.0,262.0
40.0,7.0,4.0
41.0,14.0,391.0
42.0,15.0,54.0
43.0,2.0,518.0
44.0,7.0,815.0
45.0,28.0,25.0
46.0,17.0,29.0
47.0,31.0,18.0
48.0,-2.0,588.0
49.0,20.0,68.0
50.0,0.0,480.0
51.0,9.0,5.0
52.0,12.0,16.0
53.0,-8.0,34.0
54.0,23.0,5.0
55.0,-70.0,9.0
56.0,-95.0,22.0
57.0,-101.0,120.0
58.0,-113.0,152.0
59.0,-76.0,21.0
60.0,-102.0,44.0
61.0,-104.0,676.0
62.0,-96.0,17.0
63.0,-79.0,764.0
64.0,-32.0,13.0
65.0,-2.0,6.0
66.0,-61.0,718.0
67.0,-32.0,52.0
68.0,-12.0,11.0
69.0,-16.0,93.0
70.0,-11.0,398.0
71.0,3.0,48.0
72.0,2.0,37.0
73.0,-15.0,3.0
74.0,-3.0,8.0
75.0,-2.0,406.0
76.0,4.0,1086.0
77.0,3.0,3.0
78.0,32.0,52.0
79.0,38.0,88.0
80.0,34.0,28.0
81.0,50.0,686.0
82.0,43.0,25.0
83.0,34.0,101.0
84.0,44.0,4.0
85.0,1.0,15.0
86.0,4.0,445.0
87.0,-4.0,4.0
88.0,-1.0,593.0
89.0,2.0,327.0
90.0,2.0,92.0
91.0,-2.0,21.0
92.0,1.0,12.0
93.0,2.0,44.0
94.0,5.0,773.0
95.0,4.0,4.0
96.0,9.0,14.0
97.0,-3.0,783.0
98.0,-2.0,3.0
99.0,1.0,500.0
100.0,7.0,390.0
