x,y,d
0.0,0.0,0.0
1.0,9.0,94.0
2.0,8.0,12.0
3.0,16.0,17.0
4.0,13.0,619.0
5.0,3.0,61.0
6.0,6.0,3.0
7.0,5.0,4.0
8.0,9.0,13.0
9.0,10.0,44.0
10.0,2.0,12.0
11.0,0.0,35.0
12.0,24.0,114.0
13.0,-15.0,29.0
14.0,10.0,76.0
15.0,-2.0,106.0
16.0,4.0,157.0
17.0,31.0,43.0
18.0,36.0,4.0
19.0,11.0,38.0
20.0,25.0,212.0
21.0,17.0,42.0
22.0,4.0,10.0
23.0,10.0,19.0
24.0,-9.0,856.0
25.0,24.0,13.0
26.0,-10.0,67.0
27.0,4.0,144.0
28.0,25.0,310.0
29.0,32.0,85.0
30.0,59.0,1061.0
31.0,53.0,344.0
32.0,55.0,22.0
33.0,85.0,15.0
34.0,81.0,219.0
35.0,86.0,44.0
36.0,33.0,370.0
37.0,86.0,74.0
38.0,44.0,82.0
39.0,67.0,3.0
40.0,76.0,39.0
41.0,44.0,54.0
42.0,80.0,22.0
43.0,84.0,171.0
44.0,54.0,65.0
45.0,34.0,405.0
46.0,80.0,19.0
47.0,32.0,7.0
48.0,39.0,586.0
49.0,82.0,15.0
50.0,42.0,149.0
51.0,5.0,141.0
52.0,25.0,9.0
53.0,14.0,261.0
54.0,11.0,4.0
55.0,4.0,5.0
56.0,21.0,21.0
57.0,1.0,25.0
58.0,21.0,86.0
59.0,3.0,86.0
60.0,14.0,124.0
61.0,27.0,123.0
62.0,11.0,11.0
63.0,30.0,41.0
64.0,15.0,279.0
65.0,17.0,149.0
66.0,-60.0,9.0
67.0,-58.0,65.0
68.0,-34.0,155.0
69.0,-37.0,6.0
70.0,-19.0,83.0
71.0,-49.0,11.0
72.0,-4.0,735.0
73.0,-10.0,4.0
74.0,-17.0,56.0
75.0,12.0,26.0
76.0,-5.0,5.0
77.0,-4.0,34.0
78.0,-3.0,13.0
79.0,-22.0,1017.0
80.0,1.0,85.0
81.0,-6.0,10.0
82.0,62.0,7.0
83.0,64.0,6.0
84.0,69.0,524.0
85.0,66.0,16.0
86.0,67.0,15.0
87.0,-10.0,117.0
88.0,-22.0,48.0
89.0,-4.0,43.0
90.0,-19.0,64.0
91.0,-12.0,30.0
92.0,-14.0,3.0
93.0,-4.0,21.0
94.0,39.0,514.0
95.0,39.0,625.0
96.0,48.0,7.0
97.0,21.0,257.0
98.0,16.0,603.0
99.0,30.0,4.0
100.0,16.0,4.0
