x,y,d
0.0,1525.0,0.0
1.0,1480.0,3.0
2.0,1631.0,7.0
3.0,1372.0,7.0
4.0,1830.0,15.0
5.0,1832.0,1.0
6.0,1844.0,23.0
7.0,1868.0,5.0
8.0,1875.0,3.0
9.0,1876.0,3.0
10.0,1885.0,2.0
11.0,1891.0,6.0
12.0,1926.0,1.0
13.0,1877.0,1.0
14.0,1843.0,1.0
15.0,1844.0,2.0
16.0,1861.0,1.0
17.0,1869.0,4.0
18.0,1823.0,8.0
19.0,1862.0,42.0
20.0,1890.0,1.0
21.0,1886.0,1.0
22.0,1887.0,3.0
23.0,1896.0,1.0
24.0,1873.0,1.0
25.0,1863.0,2.0
26.0,1845.0,3.0
27.0,1832.0,4.0
28.0,1822.0,5.0
29.0,1865.0,1.0
30.0,1893.0,1.0
31.0,1933.0,3.0
32.0,1855.0,14.0
33.0,1867.0,13.0
34.0,1913.0,6.0
35.0,1934.0,2.0
36.0,1923.0,2.0
37.0,1892.0,2.0
38.0,1917.0,1.0
39.0,1919.0,24.0
40.0,1953.0,5.0
41.0,1948.0,2.0
42.0,1965.0,2.0
43.0,1971.0,4.0
44.0,1973.0,1.0
45.0,1992.0,1.0
46.0,1974.0,1.0
47.0,1989.0,1.0
48.0,2006.0,6.0
49.0,1669.0,7.0
50.0,1670.0,10.0
51.0,1590.0,2.0
52.0,1620.0,1.0
53.0,1592.0,6.0
54.0,1587.0,1.0
55.0,1635.0,7.0
56.0,1641.0,3.0
57.0,1666.0,3.0
58.0,1739.0,31.0
59.0,1759.0,8.0
60.0,1770.0,2.0
61.0,1761.0,1.0
62.0,1778.0,1.0
63.0,1783.0,1.0
64.0,1784.0,3.0
65.0,1792.0,4.0
66.0,1799.0,3.0
67.0,1796.0,1.0
68.0,1816.0,3.0
69.0,1762.0,3.0
70.0,1748.0,45.0
71.0,1746.0,2.0
72.0,1730.0,1.0
73.0,1739.0,1.0
74.0,1718.0,2.0
75.0,1718.0,4.0
76.0,1730.0,1.0
77.0,1716.0,2.0
78.0,1714.0,4.0
79.0,1689.0,1.0
80.0,1668.0,2.0
81.0,1661.0,1.0
82.0,1632.0,2.0
83.0,1624.0,1.0
84.0,1605.0,2.0
85.0,1583.0,2.0
86.0,1583.0,3.0
87.0,1595.0,4.0
88.0,1614.0,2.0
89.0,1629.0,19.0
90.0,1651.0,1.0
91.0,1588.0,10.0
92.0,1588.0,3.0
93.0,1605.0,6.0
94.0,1595.0,28.0
95.0,1616.0,3.0
96.0,1617.0,2.0
97.0,1636.0,2.0
98.0,1644.0,2.0
99.0,1612.0,12.0
100.0,1629.0,21.0
101.0,1636.0,5.0
102.0,1672.0,7.0
103.0,1678.0,1.0
104.0,1678.0,14.0
105.0,1687.0,7.0
106.0,1718.0,5.0
107.0,1709.0,4.0
108.0,1727.0,20.0
109.0,1749.0,2.0
110.0,1755.0,1.0
111.0,1771.0,2.0
112.0,1773.0,1.0
113.0,1778.0,1.0
114.0,1775.0,1.0
115.0,1790.0,4.0
116.0,1801.0,1.0
117.0,1813.0,1.0
118.0,1811.0,42.0
119.0,1806.0,2.0
120.0,1811.0,4.0
121.0,1740.0,5.0
122.0,1727.0,3.0
123.0,1704.0,2.0
124.0,1688.0,1.0
125.0,1659.0,4.0
126.0,1654.0,4.0
127.0,1658.0,33.0
128.0,1626.0,5.0
129.0,1670.0,1.0
130.0,1678.0,4.0
131.0,1635.0,1.0
132.0,1612.0,7.0
133.0,1676.0,6.0
134.0,1653.0,4.0
135.0,1673.0,1.0
136.0,1610.0,4.0
137.0,1603.0,8.0
138.0,1593.0,17.0
139.0,1613.0,12.0
140.0,1642.0,4.0
141.0,1676.0,1.0
142.0,1666.0,2.0
143.0,1682.0,1.0
144.0,1696.0,3.0
145.0,1708.0,5.0
146.0,1762.0,1.0
147.0,1787.0,3.0
148.0,1768.0,1.0
149.0,1749.0,2.0
150.0,1739.0,1.0
151.0,1724.0,3.0
152.0,1716.0,1.0
153.0,1714.0,7.0
154.0,1751.0,1.0
155.0,1774.0,3.0
156.0,1777.0,1.0
157.0,1790.0,1.0
158.0,1818.0,1.0
159.0,1808.0,2.0
160.0,1802.0,1.0
161.0,1775.0,1.0
162.0,1761.0,1.0
163.0,1753.0,1.0
164.0,1740.0,1.0
165.0,1726.0,4.0
166.0,1735.0,2.0
167.0,1711.0,3.0
168.0,1703.0,1.0
169.0,1679.0,1.0
170.0,1664.0,1.0
171.0,1665.0,1.0
172.0,1673.0,2.0
173.0,1640.0,2.0
174.0,1647.0,2.0
175.0,1657.0,2.0
176.0,1669.0,1.0
177.0,1662.0,1.0
178.0,1636.0,4.0
179.0,1626.0,3.0
180.0,1621.0,4.0
181.0,1593.0,2.0
182.0,1608.0,9.0
183.0,1619.0,6.0
184.0,1582.0,5.0
185.0,1585.0,6.0
186.0,1598.0,2.0
187.0,1614.0,6.0
188.0,1647.0,1.0
189.0,1581.0,1.0
190.0,1632.0,3.0
191.0,1721.0,1.0
192.0,1746.0,1.0
193.0,1675.0,1.0
194.0,1688.0,43.0
195.0,1729.0,1.0
196.0,1736.0,1.0
197.0,1778.0,3.0
198.0,1804.0,1.0
199.0,1708.0,1.0
200.0,1754.0,1.0
201.0,1793.0,2.0
202.0,1580.0,10.0
203.0,1696.0,1.0
204.0,1733.0,21.0
205.0,1703.0,1.0
206.0,1722.0,2.0
207.0,1752.0,1.0
208.0,1585.0,1.0
209.0,1691.0,1.0
210.0,1714.0,1.0
211.0,1723.0,1.0
212.0,1732.0,2.0
213.0,1755.0,2.0
214.0,1770.0,2.0
215.0,1743.0,1.0
216.0,1791.0,11.0
217.0,1777.0,1.0
218.0,1762.0,1.0
219.0,1804.0,2.0
220.0,1779.0,1.0
221.0,1340.0,7.0
222.0,1348.0,17.0
223.0,1365.0,5.0
224.0,1375.0,6.0
225.0,1368.0,1.0
226.0,1374.0,7.0
227.0,1376.0,35.0
228.0,1387.0,24.0
229.0,1386.0,3.0
230.0,1387.0,2.0
231.0,1396.0,7.0
232.0,1405.0,9.0
233.0,1447.0,13.0
234.0,1412.0,8.0
235.0,1427.0,7.0
236.0,1405.0,6.0
237.0,1421.0,3.0
238.0,1434.0,13.0
239.0,1440.0,12.0
240.0,1427.0,5.0
241.0,1419.0,4.0
242.0,1427.0,3.0
243.0,1445.0,3.0
244.0,1447.0,2.0
245.0,1452.0,4.0
246.0,1437.0,2.0
247.0,1458.0,7.0
248.0,1468.0,3.0
249.0,1460.0,13.0
250.0,1466.0,6.0
251.0,1492.0,2.0
252.0,1481.0,7.0
253.0,1467.0,1.0
254.0,1496.0,4.0
255.0,1503.0,1.0
256.0,1500.0,3.0
257.0,1515.0,14.0
258.0,1520.0,2.0
259.0,1458.0,38.0
260.0,1468.0,9.0
261.0,1472.0,4.0
262.0,1472.0,5.0
263.0,1489.0,14.0
264.0,1499.0,23.0
265.0,1502.0,2.0
266.0,1484.0,5.0
267.0,1481.0,18.0
268.0,1501.0,21.0
269.0,1544.0,28.0
270.0,1490.0,3.0
271.0,1494.0,2.0
272.0,1489.0,18.0
273.0,1495.0,17.0
274.0,1496.0,4.0
275.0,1483.0,36.0
276.0,1508.0,4.0
277.0,1506.0,6.0
278.0,1523.0,8.0
279.0,1512.0,3.0
280.0,1546.0,14.0
281.0,1564.0,3.0
282.0,1569.0,1.0
283.0,1561.0,9.0
284.0,1549.0,3.0
285.0,1535.0,2.0
286.0,1524.0,3.0
287.0,1509.0,5.0
288.0,1508.0,15.0
289.0,1565.0,3.0
290.0,1554.0,2.0
291.0,1543.0,1.0
292.0,1536.0,2.0
293.0,1531.0,5.0
294.0,1515.0,12.0
295.0,1525.0,2.0
296.0,1505.0,11.0
297.0,1508.0,12.0
298.0,1523.0,19.0
299.0,1561.0,30.0
300.0,1474.0,3.0
301.0,1512.0,10.0
302.0,1521.0,38.0
303.0,1531.0,14.0
304.0,1565.0,4.0
305.0,1552.0,3.0
306.0,1577.0,3.0
307.0,1541.0,20.0
308.0,1559.0,42.0
309.0,1529.0,10.0
310.0,1535.0,42.0
311.0,1513.0,26.0
312.0,1570.0,4.0
313.0,1562.0,53.0
314.0,1533.0,56.0
315.0,1543.0,8.0
316.0,1572.0,25.0
317.0,1540.0,60.0
318.0,1568.0,47.0
319.0,1556.0,1.0
320.0,1515.0,2.0
321.0,1533.0,8.0
322.0,1521.0,49.0
323.0,1345.0,8.0
324.0,1360.0,3.0
325.0,1365.0,5.0
326.0,1384.0,37.0
327.0,1409.0,7.0
328.0,1422.0,23.0
329.0,1446.0,34.0
330.0,1459.0,4.0
331.0,1460.0,40.0
332.0,1469.0,37.0
333.0,1468.0,32.0
334.0,1469.0,21.0
335.0,1474.0,21.0
336.0,1478.0,11.0
337.0,1471.0,3.0
338.0,1543.0,1.0
339.0,1561.0,1.0
340.0,1561.0,9.0
341.0,1551.0,3.0
342.0,1557.0,2.0
343.0,1577.0,1.0
344.0,1573.0,3.0
345.0,1570.0,2.0
346.0,1463.0,4.0
347.0,1472.0,29.0
348.0,1487.0,8.0
349.0,1572.0,1.0
350.0,1332.0,11.0
351.0,1321.0,18.0
352.0,1305.0,23.0
353.0,1301.0,19.0
354.0,1295.0,11.0
355.0,1302.0,3.0
356.0,1288.0,12.0
357.0,1247.0,9.0
358.0,1223.0,54.0
359.0,1325.0,23.0
360.0,1274.0,51.0
361.0,1296.0,10.0
362.0,1311.0,8.0
363.0,1332.0,3.0
364.0,1332.0,2.0
365.0,1754.0,1.0
366.0,1791.0,1.0
367.0,1584.0,1.0
368.0,1809.0,1.0
369.0,1818.0,5.0
370.0,1825.0,1.0
371.0,1686.0,1.0
372.0,1558.0,8.0
373.0,1786.0,1.0
374.0,1468.0,14.0
375.0,1347.0,8.0
376.0,1653.0,1.0
377.0,1820.0,1.0
378.0,1547.0,14.0
379.0,1495.0,1.0
380.0,1521.0,4.0
381.0,1688.0,2.0
382.0,1187.0,8.0
383.0,1331.0,10.0
384.0,1979.0,2.0
385.0,1597.0,40.0
