x,y,d
0.0,0.0,0.0
30.0,0.0,10.0
29.2478,6.6756,30.0
27.0291,13.0165,30.0
23.4549,18.7047,10.0
18.7047,23.4549,10.0
13.0165,27.0291,30.0
6.6756,29.2478,30.0
0.0,30.0,10.0
-6.6756,29.2478,10.0
-13.0165,27.0291,30.0
-18.7047,23.4549,30.0
-23.4549,18.7047,10.0
-27.0291,13.0165,10.0
-29.2478,6.6756,30.0
-30.0,0.0,30.0
-29.2478,-6.6756,10.0
-27.0291,-13.0165,10.0
-23.4549,-18.7047,30.0
-18.7047,-23.4549,30.0
-13.0165,-27.0291,10.0
-6.6756,-29.2478,10.0
0.0,-30.0,30.0
6.6756,-29.2478,30.0
13.0165,-27.0291,10.0
18.7047,-23.4549,10.0
23.4549,-18.7047,30.0
27.0291,-13.0165,30.0
29.2478,-6.6756,10.0
60.0,0.0,10.0
58.4957,13.3513,30.0
54.0581,26.033,30.0
46.9099,37.4094,10.0
37.4094,46.9099,10.0
26.033,54.0581,30.0
13.3513,58.4957,30.0
0.0,60.0,10.0
-13.3513,58.4957,10.0
-26.033,54.0581,30.0
-37.4094,46.9099,30.0
-46.9099,37.4094,10.0
-54.0581,26.033,10.0
-58.4957,13.3513,30.0
-60.0,0.0,30.0
-58.4957,-13.3513,10.0
-54.0581,-26.033,10.0
-46.9099,-37.4094,30.0
-37.4094,-46.9099,30.0
-26.033,-54.0581,10.0
-13.3512,-58.4957,10.0
0.0,-60.0,30.0
13.3513,-58.4957,30.0
26.033,-54.0581,10.0
37.4094,-46.9099,10.0
46.9099,-37.4094,30.0
54.0581,-26.033,30.0
58.4957,-13.3512,10.0
90.0,0.0,10.0
87.7435,20.0269,30.0
81.0872,39.0495,30.0
70.3648,56.1141,10.0
56.1141,70.3648,10.0
39.0495,81.0872,30.0
20.0269,87.7435,30.0
0.0,90.0,10.0
-20.0269,87.7435,10.0
-39.0495,81.0872,30.0
-56.1141,70.3648,30.0
-70.3648,56.1141,10.0
-81.0872,39.0495,10.0
-87.7435,20.0269,30.0
-90.0,0.0,30.0
-87.7435,-20.0269,10.0
-81.0872,-39.0495,10.0
-70.3648,-56.1141,30.0
-56.1141,-70.3648,30.0
-39.0495,-81.0872,10.0
-20.0269,-87.7435,10.0
0.0,-90.0,30.0
20.0269,-87.7435,30.0
39.0495,-81.0872,10.0
56.1141,-70.3648,10.0
70.3648,-56.1141,30.0
81.0872,-39.0495,30.0
87.7435,-20.0269,10.0
120.0,0.0,10.0
116.9913,26.7025,30.0
108.1163,52.0661,30.0
93.8198,74.8188,10.0
74.8188,93.8198,10.0
52.066,108.1163,30.0
26.7025,116.9913,30.0
0.0,120.0,10.0
-26.7025,116.9913,10.0
-52.0661,108.1163,30.0
-74.8188,93.8198,30.0
-93.8198,74.8188,10.0
-108.1163,52.066,10.0
-116.9913,26.7025,30.0
-120.0,0.0,30.0
-116.9913,-26.7025,10.0
-108.1163,-52.0661,10.0
-93.8198,-74.8188,30.0
-74.8188,-93.8198,30.0
-52.066,-108.1163,10.0
-26.7025,-116.9914,10.0
0.0,-120.0,30.0
26.7025,-116.9913,30.0
52.0661,-108.1163,10.0
74.8188,-93.8198,10.0
93.8198,-74.8188,30.0
108.1163,-52.066,30.0
116.9914,-26.7025,10.0
150.0,0.0,10.0
146.2392,33.3781,30.0
135.1453,65.0826,30.0
117.2747,93.5235,10.0
93.5235,117.2747,10.0
65.0826,135.1453,30.0
33.3781,146.2392,30.0
0.0,150.0,10.0
-33.3781,146.2392,10.0
-65.0826,135.1453,30.0
-93.5235,117.2747,30.0
-117.2747,93.5235,10.0
-135.1453,65.0826,10.0
-146.2392,33.3781,30.0
-150.0,0.0,30.0
-146.2392,-33.3782,10.0
