世代,ペナルティ関数値,総移動コスト
1.0,367.64,926.0
2.0,367.64,926.0
3.0,310.73,1105.2
4.0,292.73,1116.74
5.0,277.64,1126.17
6.0,251.64,1120.29
7.0,251.64,1120.29
8.0,194.55,1098.78
9.0,194.55,1098.78
10.0,194.55,1098.78
11.0,189.64,1143.1
12.0,189.64,1143.1
13.0,189.64,1143.1
14.0,176.55,1100.28
15.0,176.55,1100.28
16.0,162.55,1134.94
17.0,162.55,1134.94
18.0,152.55,1146.22
19.0,146.55,1132.24
20.0,128.55,1139.62
21.0,128.55,1139.62
22.0,127.45,1116.84
23.0,86.55,1160.22
24.0,82.55,1165.28
25.0,81.64,1157.25
26.0,81.64,1157.25
27.0,81.64,1157.25
28.0,81.64,1157.25
29.0,79.45,1165.67
30.0,75.45,1169.29
31.0,75.45,1169.29
32.0,74.73,1151.86
33.0,63.64,1176.45
34.0,60.73,1170.68
35.0,53.45,1206.16
36.0,53.45,1201.03
37.0,53.45,1201.03
38.0,53.45,1201.03
39.0,53.45,1201.03
40.0,53.45,1201.03
41.0,50.55,1205.94
42.0,50.55,1205.94
43.0,50.55,1205.94
44.0,50.55,1205.94
45.0,48.55,1226.67
46.0,48.55,1226.67
47.0,48.55,1226.67
48.0,48.55,1226.67
49.0,48.55,1226.67
50.0,43.64,1238.0
51.0,43.64,1238.0
52.0,43.64,1238.0
53.0,43.64,1238.0
54.0,40.55,1233.53
55.0,40.55,1233.53
56.0,40.55,1233.53
57.0,40.55,1233.53
58.0,40.55,1233.53
59.0,40.55,1233.53
60.0,40.55,1233.53
61.0,40.55,1233.53
62.0,40.55,1233.53
63.0,40.55,1233.53
64.0,40.55,1233.53
65.0,40.55,1233.53
