世代,ペナルティ関数値,総移動コスト
1.0,398.55,898.0
2.0,347.45,1102.78
3.0,297.64,1116.94
4.0,232.55,1108.23
5.0,232.55,1108.23
6.0,226.55,1089.12
7.0,174.55,1096.03
8.0,174.55,1096.03
9.0,167.64,1114.63
10.0,156.55,1117.98
11.0,124.55,1105.95
12.0,124.55,1105.95
13.0,124.55,1105.95
14.0,123.64,1108.59
15.0,123.64,1108.59
16.0,115.64,1132.17
17.0,107.64,1155.77
18.0,97.64,1160.92
19.0,97.64,1160.92
20.0,96.73,1124.52
21.0,96.73,1155.07
22.0,96.73,1155.07
23.0,95.64,1141.77
24.0,92.73,1159.29
25.0,85.64,1135.98
26.0,85.64,1135.98
27.0,85.64,1135.98
28.0,85.64,1135.98
29.0,84.73,1158.88
30.0,84.73,1164.94
31.0,73.82,1169.91
32.0,72.73,1184.11
33.0,72.73,1183.31
34.0,72.73,1160.17
35.0,67.64,1185.59
36.0,67.64,1180.86
37.0,64.55,1199.29
38.0,60.55,1202.68
39.0,58.55,1215.07
40.0,58.55,1215.07
41.0,55.45,1216.31
42.0,55.45,1216.31
43.0,50.55,1239.39
44.0,50.55,1239.39
45.0,46.55,1252.13
46.0,46.55,1252.13
47.0,46.55,1244.57
48.0,46.55,1244.57
49.0,46.55,1244.57
50.0,46.55,1269.51
51.0,46.55,1227.18
52.0,46.55,1227.18
53.0,46.55,1227.18
54.0,46.55,1227.18
55.0,46.55,1227.18
56.0,46.55,1227.18
