世代,ペナルティ関数値,総移動コスト
1.0,191.0,583.0
2.0,135.25,693.46
3.0,135.25,725.35
4.0,129.5,731.54
5.0,123.5,706.03
6.0,119.5,710.61
7.0,99.5,749.58
8.0,99.5,749.58
9.0,97.25,739.31
10.0,97.25,737.2
11.0,87.5,770.2
12.0,87.5,770.2
13.0,85.75,725.85
14.0,85.25,808.54
15.0,83.5,788.07
16.0,83.5,788.07
17.0,69.0,771.17
18.0,65.25,775.08
19.0,53.25,789.7
20.0,53.25,773.89
21.0,53.25,773.89
22.0,51.25,796.7
23.0,49.25,841.38
24.0,49.25,841.38
25.0,45.5,830.7
26.0,45.5,821.4
27.0,39.5,810.48
28.0,39.5,810.48
29.0,29.25,804.73
30.0,21.5,790.55
31.0,21.5,810.87
32.0,21.5,810.87
33.0,21.5,814.44
34.0,21.5,814.44
35.0,21.5,814.44
36.0,21.5,814.44
37.0,21.5,814.44
38.0,21.5,814.44
39.0,21.5,814.44
40.0,21.5,814.44
41.0,21.5,814.44
