世代,ペナルティ関数値,総移動コスト
1.0,139.5,913.0
2.0,139.5,913.0
3.0,129.0,909.14
4.0,129.0,909.14
5.0,117.0,907.75
6.0,117.0,907.75
7.0,93.5,912.37
8.0,76.0,917.15
9.0,76.0,917.15
10.0,76.0,917.15
11.0,76.0,917.15
12.0,63.5,918.38
13.0,63.5,918.38
14.0,63.5,918.38
15.0,63.5,918.38
16.0,63.5,918.38
17.0,63.5,918.38
18.0,63.5,918.38
19.0,62.0,931.46
20.0,59.0,935.6
21.0,53.5,952.14
22.0,44.0,955.63
23.0,44.0,961.49
24.0,44.0,961.76
25.0,44.0,964.94
26.0,44.0,964.94
27.0,44.0,964.94
28.0,44.0,955.24
29.0,44.0,955.24
30.0,44.0,955.24
31.0,44.0,955.24
32.0,44.0,955.24
33.0,44.0,955.24
