世代,ペナルティ関数値,総移動コスト
1.0,210.47,1385.0
2.0,210.47,1385.0
3.0,210.47,1385.0
4.0,210.47,1385.0
5.0,206.47,1418.93
6.0,206.47,1418.93
7.0,206.47,1418.93
8.0,206.47,1418.93
9.0,206.47,1418.93
10.0,200.12,1422.85
11.0,200.12,1422.85
12.0,198.12,1438.24
13.0,198.12,1438.24
14.0,198.12,1438.24
15.0,198.12,1438.24
16.0,198.12,1438.24
17.0,198.12,1438.24
18.0,192.47,1424.08
19.0,192.47,1424.08
20.0,192.47,1424.08
21.0,192.47,1424.08
22.0,192.47,1424.08
23.0,192.47,1424.08
24.0,192.47,1424.08
25.0,192.47,1424.08
26.0,192.47,1424.08
27.0,192.47,1424.08
28.0,178.12,1416.9
29.0,178.12,1416.9
30.0,178.12,1416.9
31.0,178.12,1416.9
32.0,178.12,1416.9
33.0,178.12,1416.9
34.0,178.12,1416.9
35.0,178.12,1416.9
36.0,178.12,1416.9
37.0,178.12,1416.9
38.0,178.12,1416.9
39.0,168.94,1425.7
40.0,168.94,1425.7
41.0,168.94,1425.7
42.0,148.94,1425.88
43.0,148.94,1425.88
44.0,148.94,1425.88
45.0,148.94,1425.88
46.0,148.94,1425.88
47.0,148.94,1425.88
48.0,148.94,1425.88
49.0,148.94,1425.88
50.0,148.94,1425.88
51.0,148.94,1425.88
52.0,143.76,1427.38
53.0,143.76,1427.38
54.0,143.76,1427.38
55.0,137.76,1431.09
56.0,137.76,1431.09
57.0,137.76,1431.09
58.0,134.59,1431.31
59.0,134.59,1431.31
60.0,134.59,1431.31
61.0,134.59,1431.31
62.0,134.59,1431.31
63.0,134.59,1431.31
64.0,134.59,1431.31
65.0,134.59,1431.31
66.0,132.59,1465.84
67.0,132.59,1465.84
68.0,132.59,1465.84
69.0,132.59,1465.84
70.0,132.59,1465.84
71.0,132.59,1465.84
72.0,132.59,1465.84
73.0,132.59,1465.84
74.0,118.59,1433.29
75.0,118.59,1441.47
76.0,118.59,1441.47
77.0,118.59,1441.47
78.0,118.59,1441.47
79.0,118.59,1441.47
80.0,118.59,1441.47
81.0,118.59,1441.47
82.0,118.59,1441.47
83.0,118.59,1441.47
84.0,118.59,1441.47
85.0,118.59,1441.47
