世代,ペナルティ関数値,総移動コスト
1.0,844.86,1415.0
2.0,844.86,1415.0
3.0,820.86,1654.84
4.0,793.71,1680.86
5.0,793.71,1680.86
6.0,756.29,1683.8
7.0,756.29,1683.8
8.0,756.29,1683.8
9.0,741.71,1653.6
10.0,729.71,1659.6
11.0,729.71,1659.6
12.0,681.14,1659.81
13.0,681.14,1659.81
14.0,681.14,1659.81
15.0,661.14,1663.68
16.0,659.71,1663.01
17.0,635.71,1659.75
18.0,631.71,1675.8
19.0,574.29,1669.78
20.0,554.86,1664.91
21.0,538.29,1668.87
22.0,525.43,1674.47
23.0,482.86,1681.09
24.0,482.86,1677.31
25.0,464.86,1687.54
26.0,464.86,1687.54
27.0,429.71,1678.94
28.0,400.29,1687.78
29.0,394.86,1689.69
30.0,394.86,1686.6
31.0,390.29,1678.72
32.0,368.29,1669.93
33.0,368.29,1669.93
34.0,360.86,1679.17
35.0,360.86,1679.17
36.0,348.29,1708.04
37.0,340.86,1698.75
38.0,335.43,1721.14
39.0,335.43,1709.62
40.0,334.86,1706.45
41.0,329.43,1694.78
42.0,324.86,1718.83
43.0,322.86,1713.05
44.0,318.86,1742.92
45.0,313.71,1697.14
46.0,304.29,1739.77
47.0,304.29,1701.62
48.0,299.14,1713.2
49.0,297.71,1749.13
50.0,293.71,1728.07
51.0,292.29,1757.09
52.0,286.86,1738.42
53.0,284.86,1750.43
54.0,284.29,1774.07
55.0,283.71,1754.95
56.0,283.14,1773.97
57.0,283.14,1773.97
58.0,283.14,1776.77
59.0,283.14,1793.36
60.0,282.57,1796.04
61.0,282.57,1796.04
62.0,280.57,1805.29
63.0,280.57,1805.29
64.0,280.0,1806.22
65.0,280.0,1793.01
66.0,280.0,1793.01
67.0,280.0,1793.01
68.0,280.0,1809.32
69.0,280.0,1809.32
70.0,280.0,1796.62
71.0,280.0,1796.62
72.0,280.0,1796.62
73.0,280.0,1796.62
74.0,280.0,1796.62
75.0,280.0,1796.62
