世代,ペナルティ関数値,総移動コスト
1.0,668.0,1142.0
2.0,598.0,1301.44
3.0,598.0,1301.44
4.0,598.0,1301.44
5.0,582.0,1306.78
6.0,540.0,1350.68
7.0,540.0,1350.68
8.0,526.0,1326.15
9.0,484.0,1335.51
10.0,484.0,1335.51
11.0,484.0,1335.51
12.0,410.0,1329.22
13.0,410.0,1329.22
14.0,410.0,1329.22
15.0,410.0,1329.22
16.0,410.0,1329.22
17.0,410.0,1329.22
18.0,410.0,1329.22
19.0,378.0,1383.37
20.0,378.0,1383.37
21.0,378.0,1383.37
22.0,350.0,1362.02
23.0,350.0,1362.02
24.0,264.0,1369.06
25.0,252.0,1374.74
26.0,252.0,1374.74
27.0,252.0,1374.74
28.0,252.0,1360.14
29.0,226.0,1377.24
30.0,226.0,1377.24
31.0,226.0,1377.24
32.0,226.0,1377.24
33.0,226.0,1377.24
34.0,216.0,1385.31
35.0,216.0,1385.31
36.0,216.0,1385.31
37.0,216.0,1385.31
38.0,216.0,1385.31
39.0,216.0,1380.16
40.0,216.0,1380.16
41.0,216.0,1380.16
42.0,216.0,1380.16
43.0,214.0,1393.09
44.0,184.0,1379.15
45.0,184.0,1379.15
46.0,184.0,1379.15
47.0,184.0,1379.15
48.0,184.0,1379.15
49.0,184.0,1379.15
50.0,184.0,1379.15
51.0,164.0,1407.57
52.0,164.0,1407.57
53.0,164.0,1407.57
54.0,160.0,1411.31
55.0,160.0,1411.31
56.0,160.0,1411.31
57.0,160.0,1411.31
58.0,160.0,1411.31
59.0,160.0,1366.11
60.0,160.0,1366.11
61.0,160.0,1401.24
62.0,156.0,1369.98
63.0,156.0,1369.98
64.0,156.0,1369.98
65.0,156.0,1377.81
66.0,156.0,1377.81
67.0,156.0,1377.81
68.0,156.0,1412.04
69.0,156.0,1412.04
70.0,156.0,1412.04
71.0,156.0,1412.04
72.0,156.0,1412.04
73.0,156.0,1412.04
