世代,総移動コスト
1,836
2,776
3,721
4,688
5,628
6,628
7,593
8,593
9,535
10,533
11,520
12,504
13,487
14,476
15,460
16,444
17,439
18,421
19,420
20,413
21,405
22,401
23,396
24,380
25,377
26,366
27,366
28,356
29,354
30,343
31,343
32,337
33,337
34,336
35,336
36,336
37,336
38,336
39,336
40,336
41,336
42,336
43,336
44,336
45,336
46,336
47,336
48,336
49,336
50,336
51,336
52,336
53,336
54,336
55,336
56,336
57,336
58,336
59,336
60,336
61,336
62,336
63,336
64,336
65,336
66,336
67,336
68,336
69,336
70,336
71,336
72,336
73,336
74,336
75,336
76,336
77,336
78,336
79,336
80,336
81,336
82,336
83,336
84,336
85,336
86,336
87,336
88,336
89,336
90,336
91,336
92,336
93,336
94,336
95,336
96,336
97,336
98,336
99,336
100,336
