α,値,実行,ルート数,距離
1,0.0125892541179,error,7,851.73
2,0.0158489319246,error,3,811.54
3,0.0199526231497,error,7,878.14
4,0.0251188643151,error,6,892.25
5,0.0316227766017,error,5,855.86
6,0.0398107170553,error,5,868.07
7,0.0501187233627,error,7,922.33
8,0.063095734448,error,7,934.23
9,0.0794328234724,error,8,944.21
10,0.1,error,8,920.87
11,0.125892541179,error,9,955.94
12,0.158489319246,error,10,1010.74
13,0.199526231497,success,12,1106.24
14,0.251188643151,success,12,1204.97
15,0.316227766017,success,12,1129.74
16,0.398107170553,success,12,1157.96
17,0.501187233627,success,13,1141.43
18,0.63095734448,success,12,1112.68
19,0.794328234724,success,12,1128.92
20,1.0,success,12,1113.92
21,1.25892541179,success,12,1079.88
22,1.58489319246,success,12,1112.61
23,1.99526231497,success,12,1129.28
24,2.51188643151,success,12,1102.17
25,3.16227766017,success,12,1108.68
26,3.98107170553,success,12,1094.08
27,5.01187233627,success,12,1100.77
28,6.3095734448,success,12,1130.22
29,7.94328234724,success,12,1122.57
30,10.0,success,12,1128.05
31,12.5892541179,success,12,1109.87
32,15.8489319246,success,12,1097.56
33,19.9526231497,success,12,1118.96
34,25.1188643151,success,12,1134.05
35,31.6227766017,success,13,1104.74
36,39.8107170553,success,12,1094.93
37,50.1187233627,success,12,1119.29
38,63.095734448,success,12,1125.26
39,79.4328234724,success,12,1079.44
40,100.0,success,12,1126.42
"[0, 1]","[1, 51]","[51, 81]","[33, 81.0]","[79, 33.0]","[79, 121]","[121, 29.0]","[29, 24.0]","[24, 134]","[134, 54.0]","[54, 130]","[4, 130]","[4, 110.0]","[110, 40]","[40, 0]","[0, 5]","[118, 5.0]","[60, 118.0]","[60, 83.0]","[83, 125]","[125, 45.0]","[45, 48.0]","[82, 48.0]","[106, 82]","[106, 0]","[0, 7]","[7, 123]","[123, 19.0]","[19, 107.0]","[11, 107.0]","[64, 11.0]","[49, 64.0]","[143, 49]","[143, 36.0]","[36, 47.0]","[47, 124.0]","[124, 46]","[46, 8.0]","[8, 114.0]","[114, 0]","[0, 26]","[26, 149.0]","[149, 21]","[72, 21.0]","[74, 72.0]","[73, 74.0]","[2, 73]","[2, 57]","[15, 57.0]","[43, 15]","[43, 142.0]","[142, 42.0]","[42, 144.0]","[144.0, 87.0]","[87, 137]","[137, 0]","[0, 50]","[102, 50.0]","[76, 102.0]","[116, 76.0]","[116, 77.0]","[3, 77.0]","[68, 3.0]","[150.0, 68]","[80.0, 150.0]","[109, 80.0]","[12, 109]","[12, 138.0]","[138, 0]","[0, 55]","[55, 25.0]","[25, 139.0]","[139, 39.0]","[39, 67]","[67, 23.0]","[23, 56]","[56, 75.0]","[75, 133.0]","[133, 22]","[41, 22.0]","[145, 41]","[145, 115.0]","[115, 0]","[0, 58]","[58, 13]","[13, 94]","[6, 94.0]","[147.0, 6]","[89, 147.0]","[18, 89]","[18, 52]","[52, 127.0]","[127, 31.0]","[31, 27.0]","[146, 27.0]","[0, 146]","[0, 84]","[17, 84.0]","[113, 17]","[113, 61.0]","[61, 16.0]","[16, 86]","[141, 86]","[44, 141.0]","[140, 44.0]","[38, 140]","[38, 14.0]","[14, 119.0]","[119, 91.0]","[91, 0]","[0, 88]","[88, 148.0]","[148, 62.0]","[62, 10]","[108, 10.0]","[108, 126.0]","[126, 63]","[90, 63.0]","[32, 90.0]","[131, 32.0]","[30, 131]","[30, 122.0]","[122, 70]","[101, 70.0]","[69, 101]","[69, 132.0]","[132, 0]","[0, 96]","[96, 104.0]","[104, 99.0]","[99.0, 59.0]","[93, 59.0]","[85, 93.0]","[100, 85]","[100, 98.0]","[98, 37.0]","[37.0, 92.0]","[92.0, 97]","[95, 97.0]","[117, 95]","[0, 117]","[0, 112]","[112, 53]","[53, 105.0]","[105, 28]","[28, 111.0]","[111, 0]","[0, 120]","[120, 9.0]","[9, 103.0]","[103, 20]","[20, 128.0]","[128, 66]","[66, 71.0]","[71, 65.0]","[136, 65.0]","[35, 136]","[135, 35]","[135, 34.0]","[34, 78]","[78, 129.0]","[129, 0]"
計算時間：,10591.092400550842
