α,値,実行,ルート数,距離
0,0.01,error,2,455.13
1,0.0125892541179,error,3,476.41
2,0.0158489319246,error,3,488.71
3,0.0199526231497,error,1,465.67
4,0.0251188643151,error,4,481.14
5,0.0316227766017,error,2,456.97
6,0.0398107170553,error,4,469.84
7,0.0501187233627,error,4,481.96
8,0.063095734448,error,2,443.16
9,0.0794328234724,error,3,469.7
10,0.1,error,4,480.28
11,0.125892541179,error,3,459.48
12,0.158489319246,error,4,500.9
13,0.199526231497,success,5,621.48
14,0.251188643151,success,5,581.99
15,0.316227766017,success,5,756.8
16,0.398107170553,success,6,569.03
17,0.501187233627,success,4,626.9
18,0.63095734448,success,6,573.98
19,0.794328234724,success,6,567.01
20,1.0,success,5,566.14
21,1.25892541179,success,6,590.62
22,1.58489319246,success,5,677.38
23,1.99526231497,success,6,593.39
24,2.51188643151,success,6,619.26
25,3.16227766017,success,5,562.43
26,3.98107170553,success,6,562.65
27,5.01187233627,success,5,565.69
28,6.3095734448,success,6,589.38
29,7.94328234724,success,6,558.39
30,10.0,success,6,558.39
31,12.5892541179,success,6,568.78
32,15.8489319246,success,6,573.98
33,19.9526231497,success,6,558.41
34,25.1188643151,success,6,575.13
35,31.6227766017,success,6,572.45
36,39.8107170553,success,5,553.67
37,50.1187233627,success,6,621.87
38,63.095734448,success,6,564.92
39,79.4328234724,success,6,569.93
40,100.0,success,6,584.19
"[0, 6]","[6, 24]","[43, 24]","[43, 7]","[7, 23]","[23, 48]","[48, 27]","[27, 0]","[0, 8]","[26, 8]","[31, 26]","[28, 31]","[3, 28]","[36, 3]","[36, 35]","[35, 20]","[2, 20]","[22, 2]","[22, 0]","[0, 15]","[15, 45]","[33, 45]","[33, 39]","[39, 10]","[10, 30]","[30, 34]","[21, 34]","[21, 29]","[29, 50]","[9, 50]","[9, 49]","[49, 0]","[0, 18]","[4, 18]","[47, 4]","[47, 0]","[0, 25]","[14, 25]","[13, 14]","[41, 13]","[40, 41]","[19, 40]","[42, 19]","[42, 44]","[44, 37]","[17, 37]","[17, 0]","[1, 0]","[32, 1]","[11, 32]","[11, 16]","[16, 38]","[5, 38]","[12, 5]","[12, 46]","[46, 0]"
計算時間：,1670.4647777080536
修正時間：,698.0456264019012
トラック容量：,160,期間制約,inf
