α,値,実行,ルート数,距離
0,0.01,error,14,1295.58
1,0.0125892541179,error,15,1289.78
2,0.0158489319246,error,13,1281.87
3,0.0199526231497,error,14,1328.06
4,0.0251188643151,error,15,1273.24
5,0.0316227766017,error,11,1152.97
6,0.0398107170553,error,14,1335.92
7,0.0501187233627,error,16,1320.51
8,0.063095734448,error,15,1254.38
9,0.0794328234724,error,15,1319.45
10,0.1,error,16,1404.96
11,0.125892541179,error,15,1400.63
12,0.158489319246,error,16,1344.36
13,0.199526231497,success,17,1688.67
14,0.251188643151,success,17,1391.41
15,0.316227766017,success,17,1969.1
16,0.398107170553,error,17,1383.9
17,0.501187233627,success,17,1672.83
18,0.63095734448,success,17,1443.93
19,0.794328234724,error,17,1458.34
20,1.0,success,17,1454.89
21,1.25892541179,success,17,1379.64
22,1.58489319246,success,17,1408.84
23,1.99526231497,success,17,1407.38
24,2.51188643151,success,17,1373.08
25,3.16227766017,success,17,1783.41
26,3.98107170553,success,17,1377.06
27,5.01187233627,success,17,1440.03
28,6.3095734448,success,17,1389.68
29,7.94328234724,success,17,1447.12
30,10.0,success,17,1685.07
31,12.5892541179,success,17,1654.89
32,15.8489319246,error,15,1461.02
33,19.9526231497,success,17,1372.14
34,25.1188643151,error,16,1549.38
35,31.6227766017,success,16,1408.28
36,39.8107170553,success,17,1516.48
37,50.1187233627,success,17,1454.25
38,63.095734448,success,17,1382.09
39,79.4328234724,success,17,1461.97
40,100.0,success,17,1576.19
"[0, 21]","[155, 21]","[4, 155]","[197, 4]","[197, 72]","[74, 72]","[171, 74]","[171, 133]","[133, 22]","[22, 41]","[41, 145]","[145, 115]","[115, 0]","[0, 58]","[58, 152]","[0, 152]","[0, 68]","[68, 150]","[150, 80]","[177, 80]","[177, 121]","[121, 29]","[24, 29]","[24, 163]","[163, 134]","[134, 130]","[130, 54]","[109, 54]","[12, 109]","[12, 0]","[0, 77]","[77, 158]","[158, 79]","[34, 79]","[34, 122]","[51, 122]","[51, 9]","[120, 9]","[120, 81]","[81, 157]","[157, 102]","[102, 0]","[0, 84]","[84, 60]","[118, 60]","[59, 118]","[99, 59]","[104, 99]","[5, 104]","[5, 85]","[85, 100]","[100, 37]","[37, 98]","[98, 0]","[0, 88]","[88, 148]","[148, 108]","[108, 62]","[62, 107]","[175, 107]","[11, 175]","[19, 11]","[123, 19]","[82, 123]","[48, 82]","[48, 0]","[0, 111]","[111, 28]","[26, 28]","[149, 26]","[195, 149]","[179, 195]","[110, 179]","[198, 110]","[180, 198]","[40, 180]","[105, 40]","[53, 105]","[53, 0]","[0, 117]","[151, 117]","[92, 151]","[92, 93]","[61, 93]","[61, 173]","[113, 173]","[17, 113]","[17, 45]","[45, 125]","[125, 8]","[8, 114]","[114, 18]","[18, 166]","[0, 166]","[0, 126]","[90, 126]","[63, 90]","[181, 63]","[181, 64]","[64, 49]","[143, 49]","[36, 143]","[36, 47]","[168, 47]","[124, 168]","[124, 46]","[46, 174]","[174, 199]","[199, 83]","[83, 0]","[0, 128]","[128, 103]","[103, 161]","[71, 161]","[71, 65]","[65, 136]","[136, 35]","[35, 135]","[135, 185]","[164, 185]","[164, 78]","[78, 169]","[129, 169]","[0, 129]","[0, 132]","[132, 1]","[1, 176]","[176, 50]","[50, 76]","[76, 196]","[196, 3]","[3, 116]","[184, 116]","[184, 138]","[138, 154]","[154, 0]","[0, 146]","[146, 27]","[27, 167]","[52, 167]","[52, 89]","[89, 147]","[147, 6]","[94, 6]","[13, 94]","[137, 13]","[112, 137]","[112, 156]","[0, 156]","[0, 153]","[153, 106]","[106, 194]","[7, 194]","[182, 7]","[127, 182]","[190, 127]","[31, 190]","[31, 10]","[10, 101]","[101, 162]","[69, 162]","[69, 0]","[0, 183]","[183, 96]","[96, 95]","[97, 95]","[97, 87]","[144, 87]","[172, 144]","[42, 172]","[142, 42]","[43, 142]","[15, 43]","[57, 15]","[57, 178]","[2, 178]","[2, 0]","[0, 189]","[189, 159]","[159, 32]","[32, 131]","[131, 33]","[33, 160]","[160, 20]","[188, 20]","[66, 188]","[66, 70]","[30, 70]","[30, 0]","[0, 192]","[192, 14]","[14, 119]","[119, 44]","[38, 44]","[140, 38]","[140, 86]","[86, 16]","[141, 16]","[191, 141]","[191, 91]","[91, 193]","[193, 0]","[23, 186]","[186, 56]","[75, 56]","[73, 75]","[73, 0]","[165, 0]","[165, 55]","[25, 55]","[170, 25]","[170, 187]","[139, 187]","[39, 139]","[39, 67]","[67, 23]"
計算時間：,16153.444183826447
修正時間：,8863.778232812881
トラック容量：,200,期間制約,200
