α,値,実行,ルート数,距離
0,0.01,success,8,897.86
1,0.0125892541179,success,8,957.67
2,0.0158489319246,success,8,899.77
3,0.0199526231497,success,8,917.95
4,0.0251188643151,success,8,938.1
5,0.0316227766017,success,8,887.36
6,0.0398107170553,success,8,897.36
7,0.0501187233627,success,8,919.02
8,0.063095734448,success,8,963.56
9,0.0794328234724,success,8,876.37
10,0.1,success,8,962.99
11,0.125892541179,success,8,929.25
12,0.158489319246,error,8,921.49
13,0.199526231497,success,8,861.32
14,0.251188643151,success,8,896.99
15,0.316227766017,success,8,926.81
16,0.398107170553,success,8,992.67
17,0.501187233627,success,8,907.41
18,0.63095734448,success,8,967.61
19,0.794328234724,error,7,1014.82
20,1.0,success,8,861.03
21,1.25892541179,success,8,910.2
22,1.58489319246,success,8,888.32
23,1.99526231497,success,8,918.01
24,2.51188643151,success,8,895.03
25,3.16227766017,success,8,915.63
26,3.98107170553,success,8,919.02
27,5.01187233627,success,8,901.43
28,6.3095734448,success,8,917.38
29,7.94328234724,success,8,896.59
30,10.0,success,8,928.11
31,12.5892541179,success,8,892.49
32,15.8489319246,success,8,875.1
33,19.9526231497,success,8,899.48
34,25.1188643151,success,8,898.59
35,31.6227766017,success,8,894.75
36,39.8107170553,success,8,904.05
37,50.1187233627,success,8,868.56
38,63.095734448,success,8,875.07
39,79.4328234724,success,8,916.29
40,100.0,success,8,870.49
"[0, 1]","[1, 70]","[70, 30]","[20, 30]","[66, 20]","[66, 65]","[71, 65]","[35, 71]","[34, 35]","[78, 34]","[33, 78]","[81, 33]","[9, 81]","[51, 9]","[51, 0]","[0, 28]","[28, 50]","[50, 76]","[76, 77]","[77, 3]","[79, 3]","[29, 79]","[24, 29]","[24, 54]","[80, 54]","[68, 80]","[12, 68]","[26, 12]","[26, 0]","[0, 52]","[18, 52]","[83, 18]","[83, 8]","[8, 82]","[82, 7]","[48, 7]","[19, 48]","[19, 62]","[62, 88]","[88, 31]","[69, 31]","[27, 69]","[27, 0]","[0, 60]","[60, 5]","[84, 5]","[17, 84]","[45, 17]","[45, 46]","[47, 46]","[36, 47]","[49, 36]","[64, 49]","[64, 11]","[11, 63]","[63, 90]","[90, 32]","[32, 10]","[10, 0]","[0, 89]","[6, 89]","[94, 6]","[96, 94]","[99, 96]","[93, 99]","[59, 93]","[59, 95]","[95, 97]","[87, 97]","[13, 87]","[13, 0]","[0, 92]","[92, 37]","[100, 37]","[91, 100]","[91, 44]","[44, 14]","[38, 14]","[38, 86]","[86, 16]","[16, 61]","[61, 85]","[85, 98]","[0, 98]","[2, 0]","[57, 2]","[42, 57]","[43, 42]","[15, 43]","[15, 41]","[41, 22]","[22, 74]","[74, 72]","[72, 73]","[21, 73]","[21, 0]","[4, 0]","[4, 55]","[55, 25]","[39, 25]","[67, 39]","[23, 67]","[23, 56]","[56, 75]","[75, 40]","[40, 58]","[53, 58]","[53, 0]"
最短コスト:,861.03
計算時間：,1887.9794976711273
修正時間：,497.7450053691864
トラック容量：,200,期間制約,230
サービス時間：,10
