世代,ペナルティ関数値,総移動コスト
1.0,3160.3,893.0
2.0,3149.29,1106.71
3.0,3084.88,1102.44
4.0,2865.89,1124.11
5.0,2804.29,1068.99
6.0,2804.29,1068.99
7.0,2804.29,1068.99
8.0,2804.29,1068.99
9.0,2804.29,1068.99
10.0,2698.38,1044.43
11.0,2694.82,1040.87
12.0,2694.71,1040.76
13.0,2563.94,1122.39
14.0,2562.14,1123.12
15.0,2562.14,1123.12
16.0,2562.14,1123.12
17.0,2560.76,1125.06
18.0,2429.4,1112.54
19.0,2429.4,1112.54
20.0,2395.45,1092.42
21.0,2393.78,1091.69
22.0,2393.78,1091.69
23.0,2393.78,1091.69
24.0,2387.46,1097.71
25.0,2387.46,1097.71
26.0,2325.71,1083.0
27.0,2325.71,1083.0
28.0,2325.71,1083.0
29.0,2300.95,1059.28
30.0,2300.95,1059.28
31.0,2300.95,1059.28
32.0,2300.95,1059.28
33.0,2300.95,1059.28
34.0,2300.95,1059.28
35.0,2300.95,1059.28
36.0,2300.95,1059.28
37.0,2300.95,1059.28
38.0,2300.95,1059.28
39.0,2300.95,1059.28
40.0,2300.95,1059.28
